,Sales_in_thousands,four_year_resale_value,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Power_perf_factor,Manufacturer_Audi,Manufacturer_BMW,Manufacturer_Buick,Manufacturer_Cadillac,Manufacturer_Chevrolet,Manufacturer_Chrysler,Manufacturer_Dodge,Manufacturer_Ford,Manufacturer_Honda,Manufacturer_Hyundai,Manufacturer_Infiniti,Manufacturer_Jaguar,Manufacturer_Jeep,Manufacturer_Lexus,Manufacturer_Lincoln,Manufacturer_Mercedes-B,Manufacturer_Mercury,Manufacturer_Mitsubishi,Manufacturer_Nissan,Manufacturer_Oldsmobile,Manufacturer_Plymouth,Manufacturer_Pontiac,Manufacturer_Porsche,Manufacturer_Saab,Manufacturer_Saturn,Manufacturer_Subaru,Manufacturer_Toyota,Manufacturer_Volkswagen,Manufacturer_Volvo,Vehicle_type_Passenger,ln_sales_in_thousands
Fuel_efficiency,0.03667730611912812,-0.36434178280641644,-0.5059951936657786,-0.7571704241878533,-0.6110603580159786,-0.4993408116614593,-0.5852659470185912,-0.4194428441418347,-0.8296994487707802,-0.8212960505459405,1.0,-0.606305679050033,-0.015321533713517537,0.04366637108352483,0.0198350722278114,-0.1456197021458482,0.2091628487226201,0.03445309785047117,-0.2319857649252251,-0.06598815771695203,0.0567427059222952,0.1380470187587923,0.0250486621439758,-0.05616173722807208,-0.1804876671452355,-0.14825127097007834,-0.15689250522641862,-0.020122224014298657,-0.005032884475736964,-0.049799462969707595,-0.08110198255066657,-0.03227610696396546,0.06083642958462999,0.05393939231605075,-0.06251185755115109,-0.022071120879017664,0.30509657036956206,0.021135903892618577,0.09104629610057108,0.12133628007809395,0.03709017037553998,0.5980608378097386,0.13500538349526317
Power_perf_factor,-0.2852528662015869,0.7305955487878417,0.9067673127486753,0.7968800751187812,0.9909064539495099,0.2887573240748297,0.5066504296155052,0.3709507408296686,0.6301366061908212,0.5219013886835465,-0.606305679050033,1.0,0.1013594682492295,0.012841115584950527,0.0504986307843759,0.2334478471403063,-0.0639403734254349,0.014316345459036999,-0.002780531292563466,-0.08953217640429906,-0.08938045879016923,-0.15511688390063022,0.05284470731786028,0.08587274834830003,-0.049060778853780344,0.2366562429286121,0.19881772495644184,0.27766289699049546,-0.08506481894130345,-0.08377613098043125,-0.07034236741612189,0.009585879440640207,-0.0581379977637492,-0.014083636832252878,0.26239603736004,-0.010034404130210029,-0.21900124966177065,-0.046104268316168255,-0.11339175895310105,-0.22597256537919616,0.0009620399937263297,-0.0036724710735029525,-0.4471494445346909
Manufacturer_Audi,-0.09120480032562124,0.14634884979971458,0.12676968908816427,-0.016693019485836437,0.09222814078769334,0.012552920408301176,0.06617247549498334,0.022130440667766833,0.02444187630257946,0.058295759940461205,-0.015321533713517537,0.1013594682492295,1.0,-0.01948051948051965,-0.022567556955543286,-0.025314157340492135,-0.034418398925954795,-0.0301511344577767,-0.03831070831790989,-0.03831070831790989,-0.02531415734049213,-0.01948051948051963,-0.011174753906691965,-0.011174753906691965,-0.019480519480519626,-0.02782194056332857,-0.019480519480519622,-0.03441839892595497,-0.02782194056332859,-0.030151134457776695,-0.030151134457776663,-0.027821940563328606,-0.022567556955543334,-0.02782194056332862,-0.0194805194805196,-0.01585438556627552,-0.025314157340492152,-0.015854385566275508,-0.03441839892595512,-0.027821940563328623,-0.027821940563328623,0.08297804542942087,-0.1349308671647153
Manufacturer_BMW,-0.08639540062297978,0.13687785024117874,0.05779645056109264,-0.05006072455362659,2.898272350391693e-05,0.02327444856379708,-0.07884125767885132,-0.07850864075384621,-0.021871158040746328,-0.026283773689289993,0.04366637108352483,0.012841115584950527,-0.01948051948051965,1.0,-0.022567556955543286,-0.02531415734049213,-0.0344183989259548,-0.030151134457776695,-0.03831070831790989,-0.03831070831790989,-0.02531415734049213,-0.019480519480519626,-0.011174753906691965,-0.011174753906691964,-0.019480519480519626,-0.02782194056332857,-0.019480519480519622,-0.034418398925954975,-0.02782194056332858,-0.03015113445777669,-0.030151134457776653,-0.027821940563328606,-0.022567556955543328,-0.02782194056332862,-0.019480519480519598,-0.015854385566275518,-0.02531415734049216,-0.015854385566275504,-0.03441839892595513,-0.027821940563328623,-0.027821940563328623,0.08297804542942089,-0.06830920214800265
Manufacturer_Buick,0.026377855734662024,-0.05092433920136889,-0.006355445707370949,0.0952473698312451,0.06447889182956135,0.07810612870906321,0.10705756085803078,0.14966628618259456,0.05010858649374767,-0.008438307442681923,0.0198350722278114,0.0504986307843759,-0.022567556955543286,-0.022567556955543286,1.0,-0.029325639294907318,-0.03987261114144494,-0.034929122133039114,-0.04438172672121029,-0.04438172672121028,-0.029325639294907453,-0.022567556955543362,-0.012945593956343537,-0.01294559395634354,-0.022567556955543352,-0.03223082571820159,-0.022567556955543324,-0.03987261114144498,-0.032230825718201565,-0.03492912213303902,-0.034929122133038955,-0.032230825718201524,-0.026143790849673235,-0.03223082571820151,-0.022567556955543206,-0.018366797128785913,-0.029325639294907682,-0.018366797128785906,-0.039872611141444976,-0.03223082571820147,-0.03223082571820146,0.09612740400278891,0.0875072152829903
Manufacturer_Cadillac,-0.0904107152567152,0.07976190478425649,0.1682999073632154,0.26943952015244066,0.24426395520228733,0.11416521994019352,0.17715734235546898,0.18958485557301696,0.20446332040154838,0.1362819059676483,-0.1456197021458482,0.2334478471403063,-0.025314157340492135,-0.02531415734049213,-0.029325639294907318,1.0,-0.04472533531206549,-0.03918019549846872,-0.04978323597351089,-0.04978323597351079,-0.032894736842105386,-0.025314157340492117,-0.014521146569944075,-0.014521146569944075,-0.025314157340492114,-0.03615350102147958,-0.02531415734049211,-0.04472533531206533,-0.03615350102147961,-0.03918019549846893,-0.03918019549846899,-0.036153501021479635,-0.02932563929490768,-0.03615350102147966,-0.025314157340492104,-0.020602141085758204,-0.032894736842105345,-0.020602141085758214,-0.04472533531206523,-0.03615350102147973,-0.036153501021479746,0.025247217316078565,-0.07547443646580969
Manufacturer_Chevrolet,0.04490693885712096,-0.10455536114508342,-0.12738489621351792,0.016968295194468335,-0.05521419757351611,-0.11710750322730575,-0.03693486642728736,-0.028965706954988815,-0.14563498768336253,-0.14895015943085915,0.2091628487226201,-0.0639403734254349,-0.034418398925954795,-0.0344183989259548,-0.03987261114144494,-0.04472533531206549,1.0,-0.053271360390343116,-0.06768778642378243,-0.06768778642378236,-0.04472533531206544,-0.03441839892595487,-0.0197436797434746,-0.0197436797434746,-0.03441839892595488,-0.04915611465907921,-0.03441839892595489,-0.060810810810810995,-0.049156114659079306,-0.05327136039034311,-0.05327136039034312,-0.04915611465907943,-0.039872611141445004,-0.049156114659079486,-0.034418398925954996,-0.028011705113493227,-0.044725335312065205,-0.02801170511349322,-0.060810810810810884,-0.04915611465907961,-0.049156114659079646,0.14660653544387178,0.09820190983551902
Manufacturer_Chrysler,-0.08372660107150608,-0.0579306129913059,-0.05181674728264565,-0.050603319198926786,0.03355773984554912,0.050539238709975336,0.05572396624058364,0.14322401164377654,-0.024154199700587995,-0.07145874589903038,0.03445309785047117,0.014316345459036999,-0.0301511344577767,-0.030151134457776695,-0.034929122133039114,-0.03918019549846872,-0.053271360390343116,1.0,-0.059295714306852834,-0.05929571430685275,-0.03918019549846883,-0.030151134457776622,-0.017295817388759096,-0.01729581738875909,-0.030151134457776615,-0.04306163763446072,-0.030151134457776615,-0.053271360390343185,-0.043061637634460734,-0.0466666666666665,-0.04666666666666651,-0.04306163763446071,-0.03492912213303897,-0.04306163763446071,-0.030151134457776525,-0.024538755828982267,-0.03918019549846903,-0.024538755828982253,-0.05327136039034321,-0.04306163763446069,-0.04306163763446068,0.0581738463877054,-0.01632275277239003
Manufacturer_Dodge,0.1508647138545816,-0.029853555078745632,-0.06138675349991114,0.12653767331525972,0.015312317713076333,0.25462184182157527,0.28759332278946176,0.16373745546193344,0.109174984821286,0.24832741328163468,-0.2319857649252251,-0.002780531292563466,-0.03831070831790989,-0.03831070831790989,-0.04438172672121029,-0.04978323597351089,-0.06768778642378243,-0.059295714306852834,1.0,-0.07534246575342468,-0.04978323597351074,-0.03831070831790985,-0.021976453855442942,-0.021976453855442942,-0.03831070831790984,-0.054715083487674725,-0.038310708317909836,-0.06768778642378213,-0.05471508348767475,-0.05929571430685251,-0.05929571430685236,-0.054715083487674794,-0.04438172672121036,-0.05471508348767481,-0.0383107083179098,-0.031179494037448515,-0.04978323597351053,-0.031179494037448508,-0.06768778642378188,-0.05471508348767486,-0.05471508348767488,-0.17765923948827536,0.08791247692865081
Manufacturer_Ford,0.5049405739055449,-0.129164743860476,-0.12378354433884467,0.0779607375038349,-0.07966690721221291,0.18189504728973713,0.13655565289689142,0.1578037297517313,0.035708580778171635,0.08067701360165543,-0.06598815771695203,-0.08953217640429906,-0.03831070831790989,-0.03831070831790989,-0.04438172672121028,-0.04978323597351079,-0.06768778642378236,-0.05929571430685275,-0.07534246575342468,1.0,-0.04978323597351074,-0.03831070831790984,-0.021976453855442942,-0.021976453855442942,-0.038310708317909836,-0.05471508348767472,-0.038310708317909836,-0.06768778642378212,-0.054715083487674745,-0.05929571430685251,-0.05929571430685235,-0.054715083487674794,-0.04438172672121035,-0.05471508348767481,-0.038310708317909795,-0.031179494037448508,-0.04978323597351053,-0.0311794940374485,-0.06768778642378188,-0.054715083487674857,-0.05471508348767487,-0.1208517026254255,0.3458692643946321
